Expense ID,Description,Amount,Date,Category,Transaction Type
jx7f5f6f3sj91g1gq8p8vsxpns7s40xz,"Varios",6400,2025-10-09T21:24:57.544Z,Ocio,expense
jx79arnhexyc2zbznqjt3e06ts7s7spv,"Despedida",27650,2025-10-10T02:03:34.052Z,Ocio,expense
jx746spyfwnyd72dr6w4bj8p1h7s6w48,"Porrito",35000,2025-10-10T22:39:17.183Z,Sus,expense
jx78tf4mvtppqhytgwj7njpazh7s6w7j,"Nada con juan y lucas",28750,2025-10-10T22:39:35.776Z,Ocio,expense
jx7em6hc681r8sng5y5rsw2p1s7s8reh,"Pizza y birra",13560,2025-10-11T00:32:05.400Z,Delivery,expense
jx7dhtw3yv89x0f3w8hq9k19q97s9zg5,"Uber de after",4250,2025-10-11T21:07:33.045Z,Transporte,expense
jx7b2390dtdx34w9gma0nyycm57s99yz,"Previa nada con juan",10290,2025-10-10T03:00:00.000Z,Ocio,expense
jx7c3s318hmwz4e05bn0c96jw17sb36y,"Rappi turbo",12390,2025-10-12T18:43:57.453Z,Delivery,expense
jx7a59jtk926vz6dgstb92z6217sdbwq,"Karaoke",8715,2025-10-13T19:31:31.380Z,Ocio,expense
jx77jxysebkm6nzyhreyypkd1h7sfwna,"Regalo dia de la madre",28400,2025-10-14T21:50:32.470Z,Otras,expense
jx7e6v07mtk30a47zbk5dyj7t17sf4r8,"Birras",2400,2025-10-14T23:37:09.802Z,Sus,expense
jx755mpeckd5txdfzzdb9qgcz97shvjj,"Rappi envios",2478,2025-10-15T00:59:34.545Z,Delivery,expense
jx7cwj959364y9r9acb09ajn417sg9zk,"Sube",5000,2025-10-15T21:17:24.178Z,Transporte,expense
jx77ad2ryhwa5t7rh1ybzwgmes7shykt,"Merienda",2200,2025-10-15T21:59:19.831Z,Consumibles (super, carniceria, verduleria).,expense
jx7ach0rzn7xecwxz2q3yhpd7d7skx9v,"Pan dulce",4500,2025-10-16T12:29:02.731Z,Consumibles (super, carniceria, verduleria).,expense
jx72bvt6bcxdfxd3j7j2b74eqh7snb14,"Cena",7300,2025-10-17T00:37:30.380Z,Consumibles (super, carniceria, verduleria).,expense
jx74cpzcaga1cvp86rw38enc857sqp91,"Cursor",28000,2025-10-17T12:00:00.000Z,Servicios,expense
jx70d7pggpfrf3m1x5y65bb1fx7spmbr,"Bar con los chicos",23050,2025-10-18T05:20:27.624Z,Ocio,expense
jx7exn78tzmrc2hf9e5cfda4sd7srpb8,"Carrefour",3164,2025-10-19T20:53:40.256Z,Consumibles (super, carniceria, verduleria).,expense
jx7ff6as7bpxb5eszgnapa5fdh7srdy3,"Cumple mili + gonza",54500,2025-10-18T03:00:00.000Z,Ocio,expense
jx71yyqzjmxat4amh9xmgnkeph7sr3j3,"Reintegro juan",4000,2025-10-18T03:00:00.000Z,Reintegro,income
jx7es8mv76tmf44q34d871062d7ssa4g,"Reintegro cami",16250,2025-10-19T23:44:00.600Z,Reintegro,income
jx71a2hq445svbfyfg3nrh7aah7svz60,"Cena con mama",30000,2025-10-20T02:10:51.683Z,Ocio,expense
jx7dhepnc4t6gk011pp83v8vdh7swcax,"Alquiler",542000,2025-10-01T03:00:00.000Z,Vivienda,expense
jx708pz9v9561v8ewwac8qp5y57swv6y,"Cancelacion de deuda",241205,2025-10-21T19:38:28.623Z,Credito,expense
